Home ID,Appliance Type,Energy Consumption (kWh),Outdoor Temperature (°C),Season,Household Size
183,Washing Machine,1.07,-5.3,Fall,5
374,Microwave,0.65,-3.4,Fall,5
454,TV,0.26,38.6,Fall,3
469,Dishwasher,0.43,13.4,Winter,3
463,Heater,4.0,17.3,Fall,4
197,Fridge,0.13,22.9,Winter,2
70,Washing Machine,1.27,14.8,Winter,5
241,Washing Machine,1.86,-4.0,Fall,4
323,Washing Machine,1.7,-2.1,Winter,2
117,Air Conditioning,3.65,19.4,Spring,4
327,Air Conditioning,2.83,23.1,Summer,1
271,Lights,1.13,-2.9,Winter,3
52,Washing Machine,0.26,19.9,Winter,5
366,Dishwasher,0.58,-6.5,Spring,1
200,TV,1.23,39.2,Winter,4
37,Dishwasher,1.37,1.7,Fall,4
445,Microwave,0.64,-5.2,Spring,1
34,Air Conditioning,3.58,28.1,Summer,3
149,Computer,1.33,25.8,Spring,2
468,Microwave,1.3,9.8,Fall,3
98,Fridge,0.21,-8.6,Summer,5
206,Dishwasher,0.91,4.0,Spring,3
315,TV,1.22,4.6,Spring,3
98,TV,0.5,8.5,Fall,4
50,Air Conditioning,3.34,16.3,Summer,5
108,Lights,1.92,20.3,Summer,5
402,Lights,0.76,6.7,Fall,2
220,Dishwasher,1.83,8.0,Summer,2
118,Washing Machine,0.72,9.4,Winter,1
274,Air Conditioning,4.63,20.7,Spring,1
3,Heater,4.02,-6.9,Winter,4
180,Microwave,1.62,10.0,Summer,1
175,Microwave,1.87,35.7,Spring,5
244,Washing Machine,0.29,6.6,Fall,5
359,Air Conditioning,3.73,1.6,Spring,5
165,Microwave,1.95,-2.4,Fall,4
99,Heater,3.67,3.0,Summer,5
70,Oven,0.42,13.6,Fall,1
209,Oven,1.14,17.3,Winter,4
409,Air Conditioning,2.85,22.9,Summer,1
327,Oven,1.57,16.5,Summer,5
425,Dishwasher,0.43,10.5,Summer,4
418,Dishwasher,1.1,-1.0,Fall,1
405,Lights,0.81,-2.1,Spring,1
215,Lights,1.37,-1.2,Summer,2
267,Computer,0.42,25.5,Winter,5
100,Washing Machine,0.88,20.1,Winter,1
129,TV,1.59,0.7,Winter,2
455,Washing Machine,1.4,13.0,Fall,1
309,Heater,3.28,30.6,Summer,4
145,Oven,1.07,8.8,Winter,2
10,Air Conditioning,4.58,7.6,Spring,1
423,Microwave,1.03,12.9,Summer,3
438,Lights,0.64,20.3,Spring,2
440,Dishwasher,1.89,-0.3,Spring,2
469,Computer,1.79,26.0,Spring,2
124,Oven,1.74,39.9,Summer,4
488,Air Conditioning,2.95,16.5,Winter,2
304,Dishwasher,1.29,36.5,Spring,4
182,Oven,0.34,26.6,Spring,3
35,TV,1.74,-7.7,Winter,4
47,Fridge,0.48,15.4,Fall,4
343,Heater,4.48,5.1,Fall,2
469,Air Conditioning,4.44,5.5,Summer,3
67,Microwave,1.85,22.6,Fall,1
60,Dishwasher,0.26,8.7,Spring,4
2,Dishwasher,0.5,-3.9,Summer,1
1,Washing Machine,1.65,30.7,Summer,4
389,Fridge,0.31,34.7,Spring,4
81,Heater,2.55,19.5,Winter,3
490,Heater,4.35,23.8,Spring,2
115,Dishwasher,1.96,14.9,Spring,3
243,Oven,0.94,8.5,Fall,4
332,Fridge,0.36,0.9,Fall,4
353,Air Conditioning,2.01,10.3,Winter,4
209,TV,1.37,28.1,Fall,3
468,Oven,0.86,4.2,Winter,2
488,Heater,2.45,22.7,Spring,4
168,Oven,0.55,3.8,Fall,2
460,Lights,0.39,24.4,Summer,4
23,Oven,0.82,21.4,Spring,1
353,Computer,0.62,30.5,Spring,2
179,TV,0.99,21.8,Spring,4
414,Air Conditioning,2.4,8.5,Spring,2
451,TV,1.57,26.0,Summer,3
482,Washing Machine,0.43,2.9,Winter,2
281,Washing Machine,1.05,19.8,Spring,4
15,Microwave,1.2,6.7,Spring,2
133,Heater,3.5,2.5,Winter,4
91,Washing Machine,1.01,25.9,Fall,2
275,Fridge,0.19,-8.2,Winter,1
386,Fridge,0.13,1.4,Spring,2
39,TV,0.35,27.2,Spring,3
471,Dishwasher,1.74,34.8,Winter,4
224,TV,1.6,-5.0,Fall,4
157,Washing Machine,1.02,7.9,Summer,1
487,Dishwasher,1.65,7.2,Summer,1
199,Air Conditioning,4.13,14.5,Winter,2
487,Washing Machine,0.62,38.1,Winter,5
78,Washing Machine,0.34,-0.1,Spring,5
246,Washing Machine,1.35,28.3,Fall,4
163,Fridge,0.28,23.0,Fall,3
273,Dishwasher,1.21,2.8,Summer,5
241,Heater,2.64,1.7,Winter,1
144,TV,0.38,-0.1,Summer,3
459,Oven,0.6,14.2,Summer,3
146,Washing Machine,0.51,-3.0,Spring,1
129,Air Conditioning,3.94,17.8,Summer,5
335,Dishwasher,1.68,21.4,Summer,5
180,Heater,3.33,21.1,Fall,1
288,Oven,0.33,-6.8,Summer,4
213,Fridge,0.32,34.3,Winter,5
190,Microwave,0.36,10.4,Spring,3
417,Dishwasher,1.47,21.6,Summer,5
112,Microwave,1.57,-5.8,Winter,1
76,Oven,0.54,5.5,Fall,3
159,Microwave,1.32,29.9,Spring,3
152,Heater,4.39,2.7,Summer,4
248,Fridge,0.11,2.4,Fall,4
381,Microwave,0.54,13.5,Winter,5
410,Oven,1.61,7.6,Fall,4
277,Washing Machine,0.71,-2.6,Summer,4
257,Dishwasher,0.89,2.5,Winter,4
295,Dishwasher,0.43,8.6,Summer,5
113,Lights,1.51,37.4,Winter,5
40,Computer,1.71,-9.2,Spring,2
64,Lights,1.35,21.5,Spring,4
424,Lights,1.28,9.8,Spring,4
191,Dishwasher,0.86,24.2,Spring,1
187,Air Conditioning,4.51,3.4,Spring,1
60,Dishwasher,1.52,25.0,Winter,5
340,Heater,3.17,19.1,Summer,1
317,Microwave,1.63,12.2,Fall,3
275,Heater,3.18,39.7,Winter,1
304,Lights,1.64,38.8,Summer,3
418,Oven,0.21,39.5,Summer,2
477,Computer,1.53,2.3,Winter,3
261,Washing Machine,1.38,-2.0,Winter,5
156,Heater,3.51,10.0,Fall,1
4,Microwave,1.73,3.1,Winter,3
430,Computer,0.24,16.8,Spring,5
311,Washing Machine,1.41,11.5,Fall,1
496,Fridge,0.29,35.3,Fall,3
15,Fridge,0.29,3.4,Winter,5
288,Lights,0.74,22.1,Fall,5
44,Oven,1.4,22.3,Fall,5
211,Washing Machine,0.74,-2.6,Winter,2
225,Dishwasher,0.71,-3.7,Spring,2
347,Dishwasher,0.47,34.1,Fall,3
337,TV,0.83,8.1,Summer,1
111,Computer,0.39,2.5,Fall,2
161,Washing Machine,1.21,-1.4,Summer,5
237,Microwave,0.28,37.2,Fall,2
73,Computer,0.31,8.5,Summer,5
385,Washing Machine,1.26,18.3,Fall,2
181,Heater,4.57,-0.3,Spring,5
215,Oven,0.22,9.3,Fall,2
99,Washing Machine,0.26,0.0,Fall,2
292,Heater,3.33,-9.5,Fall,3
296,Fridge,0.48,39.9,Spring,2
472,Lights,1.03,-4.1,Summer,3
102,Air Conditioning,3.54,7.6,Spring,1
323,TV,1.07,33.6,Fall,3
158,Microwave,1.04,-1.9,Fall,2
406,Dishwasher,1.33,24.9,Winter,3
283,Dishwasher,0.22,19.2,Winter,2
108,Heater,2.91,25.8,Spring,5
253,TV,1.49,-3.0,Summer,5
428,Computer,1.98,25.1,Summer,1
449,Air Conditioning,2.03,36.9,Spring,1
235,Oven,0.76,37.9,Spring,2
497,Washing Machine,1.17,16.2,Winter,2
37,TV,0.81,0.8,Spring,3
480,Air Conditioning,3.43,16.2,Fall,3
217,Oven,1.47,11.4,Fall,4
261,TV,1.66,9.8,Spring,5
500,Lights,0.72,2.9,Winter,4
10,Air Conditioning,4.48,23.5,Spring,4
164,Oven,1.2,6.9,Fall,1
88,Air Conditioning,2.41,18.2,Spring,2
381,Microwave,1.52,0.6,Summer,1
415,Air Conditioning,2.48,39.5,Spring,1
128,Lights,1.09,20.2,Spring,1
7,Microwave,1.69,-6.8,Winter,3
291,Washing Machine,1.42,11.4,Spring,5
286,Air Conditioning,4.25,18.5,Winter,2
476,Computer,0.27,11.6,Winter,1
121,Microwave,0.4,32.8,Fall,4
7,Microwave,1.65,2.5,Spring,2
256,Dishwasher,1.59,36.5,Winter,5
81,Washing Machine,0.35,10.0,Spring,4
307,Fridge,0.25,12.2,Summer,1
107,Microwave,1.21,5.6,Summer,1
348,Microwave,1.47,4.3,Summer,3
456,Oven,0.32,3.5,Winter,4
149,Oven,0.36,17.1,Summer,3
241,Microwave,1.67,-4.3,Summer,4
445,Air Conditioning,2.39,-3.0,Winter,3
233,TV,1.46,-5.6,Winter,3
181,Microwave,1.24,4.1,Summer,5
14,Oven,1.28,8.0,Spring,1
395,Fridge,0.23,10.2,Winter,2
23,Dishwasher,0.64,34.7,Summer,1
179,TV,1.08,39.9,Summer,2
484,Washing Machine,0.51,20.3,Spring,2
218,TV,1.63,21.2,Winter,4
115,Microwave,1.81,-4.9,Fall,4
84,Computer,0.57,15.5,Winter,3
369,Dishwasher,0.21,30.8,Spring,4
317,Computer,1.69,5.3,Summer,4
387,Heater,4.27,9.8,Winter,3
441,Microwave,1.9,31.2,Fall,5
21,TV,1.21,5.7,Summer,4
457,Oven,1.94,-1.4,Winter,1
385,TV,0.29,-5.2,Spring,4
497,Microwave,0.81,21.7,Summer,5
411,Microwave,1.71,38.1,Fall,4
269,Air Conditioning,4.49,4.0,Fall,3
201,Microwave,1.62,28.7,Winter,2
414,Fridge,0.48,7.7,Winter,4
90,Computer,1.55,3.8,Winter,4
199,Washing Machine,1.19,-1.2,Spring,5
194,TV,1.32,6.7,Summer,4
72,Dishwasher,1.55,-4.0,Fall,1
249,Washing Machine,0.51,4.7,Summer,1
190,Fridge,0.19,32.1,Winter,4
478,TV,1.49,22.7,Spring,3
139,Heater,2.12,6.4,Winter,4
176,Microwave,1.84,13.6,Summer,2
484,Dishwasher,0.85,29.3,Summer,2
113,TV,1.29,28.8,Winter,5
52,Fridge,0.32,21.9,Spring,5
435,Dishwasher,1.29,38.7,Winter,3
55,Oven,0.56,5.6,Spring,4
426,Fridge,0.4,34.8,Summer,1
273,Washing Machine,1.93,-5.3,Spring,4
419,Computer,1.54,14.2,Fall,1
223,Heater,4.96,-3.7,Fall,2
2,Oven,1.56,31.8,Spring,1
64,Lights,1.51,3.5,Fall,1
462,Washing Machine,0.41,5.6,Summer,1
214,Heater,2.96,6.0,Fall,3
476,Washing Machine,1.72,-3.8,Fall,3
231,Heater,4.88,10.2,Winter,3
209,Microwave,0.41,-0.7,Fall,3
302,Air Conditioning,2.02,22.7,Summer,4
212,Oven,1.71,16.0,Fall,4
479,Lights,0.63,4.0,Fall,4
492,TV,1.16,22.8,Spring,1
174,Washing Machine,0.31,17.7,Spring,4
311,Lights,1.73,12.5,Summer,5
210,Dishwasher,0.75,21.3,Winter,2
23,Dishwasher,1.36,15.9,Spring,2
329,Air Conditioning,2.71,9.1,Summer,2
168,Air Conditioning,2.46,35.1,Summer,3
278,Fridge,0.37,33.3,Summer,2
158,Microwave,1.69,18.6,Winter,2
32,Oven,1.84,-5.9,Summer,1
497,Computer,1.73,-8.2,Fall,2
122,Oven,1.14,1.9,Fall,3
134,Lights,1.85,-6.6,Fall,1
169,Oven,1.71,20.4,Spring,2
301,Washing Machine,0.22,19.1,Summer,3
25,Microwave,0.32,-8.2,Fall,2
455,Fridge,0.32,20.8,Summer,2
269,Lights,0.46,26.0,Winter,2
65,Oven,2.0,37.3,Spring,4
445,TV,1.68,14.0,Summer,3
371,Heater,3.93,-2.7,Summer,1
56,Oven,0.37,24.8,Winter,3
220,Lights,1.69,-1.0,Fall,1
169,Dishwasher,1.53,34.5,Winter,1
211,Dishwasher,0.79,11.4,Winter,2
390,Oven,0.55,30.7,Winter,1
147,Fridge,0.19,37.7,Fall,1
475,Heater,3.75,2.1,Spring,4
256,Heater,3.3,37.1,Summer,3
261,Oven,0.76,1.4,Summer,1
85,Heater,3.57,23.7,Spring,4
380,Washing Machine,0.5,14.8,Winter,3
230,Washing Machine,0.79,32.6,Summer,4
499,Air Conditioning,4.91,20.8,Winter,1
155,Air Conditioning,2.55,22.3,Spring,4
464,Dishwasher,1.93,34.0,Fall,3
212,Washing Machine,1.56,17.8,Summer,3
340,Oven,1.42,23.4,Spring,5
491,TV,0.61,-8.7,Spring,5
54,Lights,1.56,37.0,Fall,2
59,Oven,0.44,0.5,Spring,2
323,Computer,0.3,35.8,Summer,3
130,Washing Machine,1.12,10.6,Spring,5
341,TV,1.49,19.4,Winter,3
497,Heater,2.14,26.2,Fall,2
107,Microwave,0.7,32.3,Winter,4
162,Computer,1.64,23.5,Winter,2
474,Lights,1.84,28.1,Fall,2
331,Fridge,0.29,37.8,Summer,2
144,Computer,1.71,20.2,Spring,4
73,Air Conditioning,2.91,-4.0,Spring,4
457,Microwave,0.75,6.9,Summer,3
85,Oven,0.89,34.0,Spring,4
365,Heater,3.12,10.5,Spring,2
35,Lights,1.6,24.0,Summer,2
339,Washing Machine,0.74,30.2,Winter,4
98,Washing Machine,1.71,37.7,Fall,1
415,Lights,0.81,10.8,Fall,5
353,Microwave,1.51,-3.6,Winter,1
368,Heater,3.22,1.6,Fall,3
401,Heater,4.95,11.0,Spring,3
78,Air Conditioning,4.5,26.8,Fall,1
255,TV,0.57,28.0,Winter,1
470,Oven,0.21,29.1,Fall,2
176,Dishwasher,0.81,5.1,Summer,1
133,Air Conditioning,3.51,6.8,Winter,3
236,Lights,1.57,24.1,Winter,5
422,Heater,2.94,10.2,Fall,1
10,Oven,1.36,-7.7,Summer,4
215,Fridge,0.16,29.9,Winter,2
105,TV,0.98,2.1,Fall,2
7,Microwave,0.93,4.2,Summer,3
191,Oven,1.79,32.8,Spring,2
382,Washing Machine,1.27,31.9,Summer,4
155,Heater,5.0,39.3,Summer,5
190,Computer,1.27,28.6,Summer,2
156,Washing Machine,1.99,36.6,Spring,2
180,Air Conditioning,4.77,24.7,Summer,2
345,Washing Machine,1.48,-0.9,Fall,3
267,Lights,1.96,5.3,Summer,4
363,TV,1.44,-8.2,Fall,1
190,Air Conditioning,3.76,-7.1,Fall,1
244,Heater,2.02,36.6,Spring,1
256,Heater,4.5,23.3,Spring,5
463,Microwave,0.84,20.4,Winter,2
217,Air Conditioning,4.67,-0.6,Fall,2
11,Computer,1.61,29.5,Summer,4
469,Heater,2.32,-0.4,Fall,1
336,Lights,1.52,4.8,Winter,4
452,Microwave,0.52,27.7,Fall,3
393,Microwave,1.11,33.0,Winter,4
373,Lights,0.26,36.0,Spring,1
389,Fridge,0.49,-8.0,Fall,4
45,Dishwasher,0.93,13.4,Summer,4
70,Computer,0.34,28.6,Spring,1
163,Lights,1.37,35.4,Fall,3
205,Dishwasher,0.4,20.6,Winter,4
178,Heater,4.24,39.0,Winter,1
176,Computer,0.29,22.2,Summer,5
140,Oven,0.54,3.0,Summer,2
378,Computer,1.8,25.1,Fall,4
259,Microwave,1.22,36.5,Fall,3
157,Dishwasher,1.23,14.6,Winter,1
407,Computer,1.17,33.1,Spring,1
166,Computer,1.73,4.6,Fall,2
409,Lights,0.92,38.2,Fall,3
238,Washing Machine,1.52,17.5,Summer,1
84,Heater,2.83,29.9,Fall,1
294,Lights,1.52,33.9,Summer,5
46,Air Conditioning,3.42,26.2,Fall,2
317,Oven,0.25,32.7,Fall,2
424,Computer,0.53,13.7,Fall,4
45,Heater,4.65,19.8,Fall,4
69,TV,1.42,8.2,Winter,2
297,Computer,0.39,31.0,Fall,2
144,Dishwasher,1.35,-6.6,Summer,4
378,Dishwasher,0.35,11.8,Spring,1
121,Fridge,0.47,3.9,Fall,2
92,Lights,1.0,2.1,Fall,1
471,Fridge,0.14,7.6,Summer,2
108,Heater,3.55,21.1,Winter,5
194,Dishwasher,0.44,25.7,Summer,2
284,TV,0.82,30.8,Spring,2
215,Fridge,0.26,2.3,Summer,3
391,Fridge,0.29,12.3,Winter,2
477,Heater,4.92,4.4,Spring,5
345,Microwave,1.13,38.5,Summer,1
169,Heater,2.44,8.5,Spring,2
438,Heater,2.74,33.9,Summer,3
385,Heater,4.89,-6.9,Fall,3
29,Washing Machine,0.7,3.4,Fall,3
87,Microwave,0.45,10.8,Summer,5
362,Washing Machine,0.24,38.1,Winter,1
107,Air Conditioning,4.36,39.6,Summer,2
371,TV,1.74,-3.2,Summer,2
94,Washing Machine,1.17,23.5,Spring,1
280,Washing Machine,0.94,10.2,Winter,2
20,Lights,0.89,15.4,Fall,3
44,Air Conditioning,4.67,4.4,Fall,1
192,Air Conditioning,4.57,24.9,Summer,1
445,Oven,1.08,-0.4,Spring,5
46,Dishwasher,1.35,18.4,Fall,5
300,Fridge,0.28,5.4,Winter,2
370,Fridge,0.31,12.5,Winter,5
350,TV,0.6,3.2,Spring,1
380,Washing Machine,1.94,2.6,Summer,2
446,Air Conditioning,3.09,7.3,Winter,3
376,Fridge,0.28,15.8,Winter,2
41,Fridge,0.31,-9.9,Spring,1
239,Microwave,0.93,16.2,Spring,1
151,Lights,0.25,21.4,Summer,5
66,Air Conditioning,4.11,14.5,Winter,1
421,Dishwasher,0.43,15.6,Fall,4
414,Oven,0.82,-7.8,Winter,4
215,Air Conditioning,2.51,34.1,Spring,5
147,Fridge,0.38,6.0,Winter,5
349,Heater,4.75,37.6,Winter,4
6,Microwave,0.78,31.7,Fall,3
308,Microwave,0.77,4.9,Winter,2
43,TV,1.11,-1.6,Fall,4
293,Washing Machine,1.31,31.1,Fall,3
290,Air Conditioning,3.51,6.6,Fall,4
500,Dishwasher,0.29,-2.0,Summer,5
236,Lights,0.72,17.6,Fall,3
151,Lights,1.6,0.6,Winter,2
483,Computer,0.5,-6.3,Fall,3
331,Washing Machine,1.96,37.8,Winter,2
412,TV,1.44,39.6,Spring,2
18,Fridge,0.18,28.1,Fall,3
198,Oven,0.26,3.2,Winter,1
141,TV,1.42,-7.1,Fall,2
151,Oven,1.38,7.7,Fall,2
84,Microwave,1.55,-1.9,Spring,3
147,Fridge,0.31,-8.8,Summer,3
19,Computer,0.25,27.3,Winter,5
76,Air Conditioning,3.25,32.2,Summer,1
118,Heater,4.07,39.6,Summer,3
468,Microwave,1.46,4.3,Winter,2
62,Lights,1.67,36.8,Winter,3
207,Lights,1.1,-6.0,Winter,3
454,Dishwasher,1.16,-8.3,Winter,5
485,Lights,0.6,13.9,Winter,3
423,Dishwasher,0.62,39.2,Spring,4
300,Oven,1.54,7.7,Spring,5
298,Microwave,1.75,20.1,Fall,1
458,Air Conditioning,3.58,22.8,Spring,2
239,Lights,0.88,6.6,Summer,5
396,Air Conditioning,3.18,26.2,Fall,5
375,Dishwasher,1.89,22.0,Summer,1
214,Lights,0.81,30.3,Summer,2
253,Fridge,0.13,30.1,Fall,2
199,Lights,0.77,-2.9,Spring,3
