Home ID,Appliance Type,Energy Consumption (kWh),Time,Date,Outdoor Temperature (ï¿½ï,Season,Household Size
374,Microwave,0.65,15:57,03-11-2023,-3.4,Fall,5
454,TV,0.26,01:45,21-11-2023,38.6,Fall,3
469,Dishwasher,0.43,08:38,21-02-2023,13.4,Winter,3
463,Heater,4,17:08,07-12-2023,17.3,Fall,4
197,Fridge,0.13,02:18,11-02-2023,22.9,Winter,2
70,Washing Machine,1.27,02:13,27-02-2023,14.8,Winter,5
241,Washing Machine,1.86,02:49,10-11-2023,-4,Fall,4
323,Washing Machine,1.7,04:18,23-01-2023,-2.1,Winter,2
117,Air Conditioning,3.65,06:36,01-05-2023,19.4,Spring,4
327,Air Conditioning,2.83,02:18,22-09-2023,23.1,Summer,1
271,Lights,1.13,03:29,13-02-2023,-2.9,Winter,3
52,Washing Machine,0.26,03:56,06-01-2023,19.9,Winter,5
366,Dishwasher,0.58,07:14,30-04-2023,-6.5,Spring,1
200,TV,1.23,19:15,26-02-2023,39.2,Winter,4
37,Dishwasher,1.37,19:43,22-10-2023,1.7,Fall,4
445,Microwave,0.64,19:02,16-05-2023,-5.2,Spring,1
34,Air Conditioning,3.58,04:25,23-09-2023,28.1,Summer,3
149,Computer,1.33,20:38,24-06-2023,25.8,Spring,2
468,Microwave,1.3,22:16,15-11-2023,9.8,Fall,3
98,Fridge,0.21,12:06,17-08-2023,-8.6,Summer,5
206,Dishwasher,0.91,07:08,29-05-2023,4,Spring,3
315,TV,1.22,18:07,04-04-2023,4.6,Spring,3
98,TV,0.5,14:51,19-12-2023,8.5,Fall,4
50,Air Conditioning,3.34,08:10,31-08-2023,16.3,Summer,5
108,Lights,1.92,13:59,21-09-2023,20.3,Summer,5
402,Lights,0.76,20:08,27-11-2023,6.7,Fall,2
220,Dishwasher,1.83,09:20,16-09-2023,8,Summer,2
118,Washing Machine,0.72,23:49,20-02-2023,9.4,Winter,1
274,Air Conditioning,4.63,21:01,27-05-2023,20.7,Spring,1
3,Heater,4.02,19:14,17-03-2023,-6.9,Winter,4
180,Microwave,1.62,21:19,23-07-2023,10,Summer,1
175,Microwave,1.87,11:03,29-06-2023,35.7,Spring,5
244,Washing Machine,0.29,22:11,21-12-2023,6.6,Fall,5
359,Air Conditioning,3.73,07:19,26-06-2023,1.6,Spring,5
165,Microwave,1.95,22:01,17-11-2023,-2.4,Fall,4
99,Heater,3.67,21:47,05-08-2023,3,Summer,5
70,Oven,0.42,06:56,30-11-2023,13.6,Fall,1
209,Oven,1.14,05:52,19-01-2023,17.3,Winter,4
409,Air Conditioning,2.85,06:27,18-08-2023,22.9,Summer,1
327,Oven,1.57,10:54,12-08-2023,16.5,Summer,5
425,Dishwasher,0.43,03:17,27-09-2023,10.5,Summer,4
418,Dishwasher,1.1,20:45,15-12-2023,-1,Fall,1
405,Lights,0.81,04:09,01-05-2023,-2.1,Spring,1
215,Lights,1.37,22:28,02-08-2023,-1.2,Summer,2
267,Computer,0.42,19:33,02-03-2023,25.5,Winter,5
100,Washing Machine,0.88,10:18,09-01-2023,20.1,Winter,1
129,TV,1.59,14:12,16-03-2023,0.7,Winter,2
455,Washing Machine,1.4,21:43,21-12-2023,13,Fall,1
309,Heater,3.28,04:49,23-08-2023,30.6,Summer,4
145,Oven,1.07,21:40,21-01-2023,8.8,Winter,2
10,Air Conditioning,4.58,14:15,28-04-2023,7.6,Spring,1
423,Microwave,1.03,00:53,02-09-2023,12.9,Summer,3
438,Lights,0.64,01:25,18-04-2023,20.3,Spring,2
440,Dishwasher,1.89,21:10,06-06-2023,-0.3,Spring,2
469,Computer,1.79,02:39,06-06-2023,26,Spring,2
124,Oven,1.74,10:42,29-07-2023,39.9,Summer,4
488,Air Conditioning,2.95,11:41,17-01-2023,16.5,Winter,2
304,Dishwasher,1.29,20:01,17-05-2023,36.5,Spring,4
182,Oven,0.34,12:57,27-06-2023,26.6,Spring,3
35,TV,1.74,23:07,05-02-2023,-7.7,Winter,4
47,Fridge,0.48,08:32,23-11-2023,15.4,Fall,4
343,Heater,4.48,03:27,08-10-2023,5.1,Fall,2
469,Air Conditioning,4.44,07:06,27-07-2023,5.5,Summer,3
67,Microwave,1.85,17:02,18-11-2023,22.6,Fall,1
60,Dishwasher,0.26,05:19,12-06-2023,8.7,Spring,4
2,Dishwasher,0.5,13:18,18-07-2023,-3.9,Summer,1
1,Washing Machine,1.65,05:09,06-09-2023,30.7,Summer,4
389,Fridge,0.31,11:23,24-06-2023,34.7,Spring,4
81,Heater,2.55,02:00,25-01-2023,19.5,Winter,3
490,Heater,4.35,11:54,03-05-2023,23.8,Spring,2
115,Dishwasher,1.96,06:56,10-06-2023,14.9,Spring,3
243,Oven,0.94,10:50,25-12-2023,8.5,Fall,4
332,Fridge,0.36,13:23,11-10-2023,0.9,Fall,4
353,Air Conditioning,2.01,18:12,30-01-2023,10.3,Winter,4
209,TV,1.37,13:20,03-12-2023,28.1,Fall,3
468,Oven,0.86,21:55,07-03-2023,4.2,Winter,2
488,Heater,2.45,15:32,05-04-2023,22.7,Spring,4
168,Oven,0.55,09:26,19-10-2023,3.8,Fall,2
460,Lights,0.39,00:20,05-08-2023,24.4,Summer,4
23,Oven,0.82,10:55,12-04-2023,21.4,Spring,1
353,Computer,0.62,16:27,26-05-2023,30.5,Spring,2
179,TV,0.99,09:49,06-05-2023,21.8,Spring,4
414,Air Conditioning,2.4,11:46,08-04-2023,8.5,Spring,2
451,TV,1.57,05:21,18-08-2023,26,Summer,3
482,Washing Machine,0.43,07:07,13-03-2023,2.9,Winter,2
281,Washing Machine,1.05,12:19,22-04-2023,19.8,Spring,4
15,Microwave,1.2,08:03,25-06-2023,6.7,Spring,2
133,Heater,3.5,09:51,07-01-2023,2.5,Winter,4
91,Washing Machine,1.01,07:12,20-10-2023,25.9,Fall,2
275,Fridge,0.19,17:38,01-01-2024,-8.2,Winter,1
386,Fridge,0.13,23:53,20-04-2023,1.4,Spring,2
39,TV,0.35,23:48,22-05-2023,27.2,Spring,3
471,Dishwasher,1.74,19:53,30-03-2023,34.8,Winter,4
224,TV,1.6,02:19,20-11-2023,-5,Fall,4
157,Washing Machine,1.02,20:05,02-09-2023,7.9,Summer,1
487,Dishwasher,1.65,15:40,30-08-2023,7.2,Summer,1
199,Air Conditioning,4.13,04:52,26-03-2023,14.5,Winter,2
487,Washing Machine,0.62,21:58,29-01-2023,38.1,Winter,5
78,Washing Machine,0.34,21:52,06-04-2023,-0.1,Spring,5
246,Washing Machine,1.35,17:30,11-10-2023,28.3,Fall,4
163,Fridge,0.28,14:23,08-10-2023,23,Fall,3
273,Dishwasher,1.21,02:35,29-08-2023,2.8,Summer,5
241,Heater,2.64,11:12,20-02-2023,1.7,Winter,1
144,TV,0.38,07:04,01-07-2023,-0.1,Summer,3
459,Oven,0.6,10:32,07-08-2023,14.2,Summer,3
146,Washing Machine,0.51,17:02,20-06-2023,-3,Spring,1
129,Air Conditioning,3.94,10:04,18-07-2023,17.8,Summer,5
335,Dishwasher,1.68,16:58,09-08-2023,21.4,Summer,5
180,Heater,3.33,14:44,03-11-2023,21.1,Fall,1
288,Oven,0.33,00:10,31-07-2023,-6.8,Summer,4
213,Fridge,0.32,08:15,22-01-2023,34.3,Winter,5
190,Microwave,0.36,18:56,25-05-2023,10.4,Spring,3
417,Dishwasher,1.47,07:42,02-07-2023,21.6,Summer,5
112,Microwave,1.57,10:36,25-02-2023,-5.8,Winter,1
76,Oven,0.54,08:22,20-12-2023,5.5,Fall,3
159,Microwave,1.32,16:41,03-04-2023,29.9,Spring,3
152,Heater,4.39,16:01,22-07-2023,2.7,Summer,4
248,Fridge,0.11,14:51,21-12-2023,2.4,Fall,4
381,Microwave,0.54,22:27,23-02-2023,13.5,Winter,5
410,Oven,1.61,00:22,02-12-2023,7.6,Fall,4
277,Washing Machine,0.71,12:51,09-08-2023,-2.6,Summer,4
257,Dishwasher,0.89,07:03,22-03-2023,2.5,Winter,4
295,Dishwasher,0.43,06:44,23-08-2023,8.6,Summer,5
113,Lights,1.51,09:31,16-03-2023,37.4,Winter,5
40,Computer,1.71,06:40,02-04-2023,-9.2,Spring,2
64,Lights,1.35,21:20,16-04-2023,21.5,Spring,4
424,Lights,1.28,08:18,28-06-2023,9.8,Spring,4
191,Dishwasher,0.86,01:52,15-05-2023,24.2,Spring,1
187,Air Conditioning,4.51,21:25,10-04-2023,3.4,Spring,1
60,Dishwasher,1.52,20:29,20-01-2023,25,Winter,5
340,Heater,3.17,10:54,05-07-2023,19.1,Summer,1
317,Microwave,1.63,10:46,11-11-2023,12.2,Fall,3
275,Heater,3.18,16:08,22-01-2023,39.7,Winter,1
304,Lights,1.64,09:43,04-09-2023,38.8,Summer,3
418,Oven,0.21,20:25,10-07-2023,39.5,Summer,2
477,Computer,1.53,11:34,02-03-2023,2.3,Winter,3
261,Washing Machine,1.38,23:37,21-03-2023,-2,Winter,5
156,Heater,3.51,18:49,06-11-2023,10,Fall,1
4,Microwave,1.73,18:07,10-01-2023,3.1,Winter,3
430,Computer,0.24,02:22,30-05-2023,16.8,Spring,5
311,Washing Machine,1.41,01:52,21-11-2023,11.5,Fall,1
496,Fridge,0.29,22:04,09-10-2023,35.3,Fall,3
15,Fridge,0.29,17:43,10-02-2023,3.4,Winter,5
288,Lights,0.74,15:12,25-10-2023,22.1,Fall,5
44,Oven,1.4,14:12,01-10-2023,22.3,Fall,5
211,Washing Machine,0.74,15:55,18-01-2023,-2.6,Winter,2
225,Dishwasher,0.71,03:04,11-04-2023,-3.7,Spring,2
347,Dishwasher,0.47,04:47,08-11-2023,34.1,Fall,3
337,TV,0.83,12:23,10-07-2023,8.1,Summer,1
111,Computer,0.39,11:13,27-10-2023,2.5,Fall,2
161,Washing Machine,1.21,05:14,06-07-2023,-1.4,Summer,5
237,Microwave,0.28,16:06,11-12-2023,37.2,Fall,2
73,Computer,0.31,13:01,11-09-2023,8.5,Summer,5
385,Washing Machine,1.26,09:55,02-12-2023,18.3,Fall,2
181,Heater,4.57,11:25,11-06-2023,-0.3,Spring,5
215,Oven,0.22,02:39,12-10-2023,9.3,Fall,2
99,Washing Machine,0.26,22:54,14-12-2023,0,Fall,2
292,Heater,3.33,06:02,23-11-2023,-9.5,Fall,3
296,Fridge,0.48,21:02,08-05-2023,39.9,Spring,2
472,Lights,1.03,03:52,14-09-2023,-4.1,Summer,3
102,Air Conditioning,3.54,13:07,23-04-2023,7.6,Spring,1
323,TV,1.07,01:39,26-12-2023,33.6,Fall,3
158,Microwave,1.04,14:37,28-11-2023,-1.9,Fall,2
406,Dishwasher,1.33,09:35,11-03-2023,24.9,Winter,3
283,Dishwasher,0.22,09:45,24-02-2023,19.2,Winter,2
108,Heater,2.91,05:11,31-05-2023,25.8,Spring,5
253,TV,1.49,07:37,10-07-2023,-3,Summer,5
428,Computer,1.98,15:49,22-09-2023,25.1,Summer,1
449,Air Conditioning,2.03,08:32,11-04-2023,36.9,Spring,1
235,Oven,0.76,23:16,09-04-2023,37.9,Spring,2
497,Washing Machine,1.17,18:23,10-03-2023,16.2,Winter,2
37,TV,0.81,03:03,27-06-2023,0.8,Spring,3
480,Air Conditioning,3.43,06:20,22-10-2023,16.2,Fall,3
217,Oven,1.47,06:37,27-10-2023,11.4,Fall,4
261,TV,1.66,21:34,17-06-2023,9.8,Spring,5
500,Lights,0.72,01:46,20-01-2023,2.9,Winter,4
10,Air Conditioning,4.48,12:13,12-06-2023,23.5,Spring,4
164,Oven,1.2,02:53,29-12-2023,6.9,Fall,1
88,Air Conditioning,2.41,23:29,26-06-2023,18.2,Spring,2
381,Microwave,1.52,19:04,28-09-2023,0.6,Summer,1
415,Air Conditioning,2.48,11:07,21-04-2023,39.5,Spring,1
128,Lights,1.09,09:57,18-04-2023,20.2,Spring,1
7,Microwave,1.69,19:09,26-01-2023,-6.8,Winter,3
291,Washing Machine,1.42,04:08,01-06-2023,11.4,Spring,5
286,Air Conditioning,4.25,17:29,30-03-2023,18.5,Winter,2
476,Computer,0.27,16:25,21-02-2023,11.6,Winter,1
121,Microwave,0.4,17:45,09-11-2023,32.8,Fall,4
7,Microwave,1.65,17:48,27-05-2023,2.5,Spring,2
256,Dishwasher,1.59,19:21,31-03-2023,36.5,Winter,5
81,Washing Machine,0.35,11:24,14-04-2023,10,Spring,4
307,Fridge,0.25,15:59,09-07-2023,12.2,Summer,1
107,Microwave,1.21,02:50,05-08-2023,5.6,Summer,1
348,Microwave,1.47,03:43,10-08-2023,4.3,Summer,3
456,Oven,0.32,06:05,23-03-2023,3.5,Winter,4
149,Oven,0.36,07:03,21-08-2023,17.1,Summer,3
241,Microwave,1.67,01:19,11-09-2023,-4.3,Summer,4
445,Air Conditioning,2.39,12:50,23-01-2023,-3,Winter,3
233,TV,1.46,01:29,10-02-2023,-5.6,Winter,3
181,Microwave,1.24,08:26,07-08-2023,4.1,Summer,5
14,Oven,1.28,09:27,18-04-2023,8,Spring,1
395,Fridge,0.23,17:54,21-01-2023,10.2,Winter,2
23,Dishwasher,0.64,05:56,30-09-2023,34.7,Summer,1
179,TV,1.08,06:43,11-09-2023,39.9,Summer,2
484,Washing Machine,0.51,10:18,13-04-2023,20.3,Spring,2
218,TV,1.63,04:42,13-01-2023,21.2,Winter,4
115,Microwave,1.81,17:51,30-10-2023,-4.9,Fall,4
84,Computer,0.57,00:32,17-03-2023,15.5,Winter,3
369,Dishwasher,0.21,19:48,27-06-2023,30.8,Spring,4
317,Computer,1.69,07:32,15-07-2023,5.3,Summer,4
387,Heater,4.27,19:50,10-01-2023,9.8,Winter,3
441,Microwave,1.9,00:04,04-12-2023,31.2,Fall,5
21,TV,1.21,23:50,08-07-2023,5.7,Summer,4
457,Oven,1.94,05:25,02-02-2023,-1.4,Winter,1
385,TV,0.29,12:59,18-05-2023,-5.2,Spring,4
497,Microwave,0.81,19:25,19-09-2023,21.7,Summer,5
411,Microwave,1.71,08:43,18-11-2023,38.1,Fall,4
269,Air Conditioning,4.49,22:50,20-11-2023,4,Fall,3
201,Microwave,1.62,08:12,20-01-2023,28.7,Winter,2
414,Fridge,0.48,14:36,01-03-2023,7.7,Winter,4
90,Computer,1.55,17:30,27-01-2023,3.8,Winter,4
