timestamp,Home ID,Appliance Type,Energy Consumption (kWh),Outdoor Temperature (°C),Season,Household Size
2023-08-27 00:03:00,376,TV,0.65,6.7,Summer,2
2023-08-11 11:28:00,372,Air Conditioning,4.55,-2.3,Summer,5
2023-02-14 14:48:00,110,Microwave,1.7,18.1,Winter,4
2023-01-19 19:47:00,332,Lights,0.75,30.4,Winter,4
2023-02-11 00:27:00,257,Washing Machine,1.55,0.7,Winter,4
2023-06-09 04:22:00,7,TV,0.68,19.0,Spring,1
2023-10-07 20:57:00,420,Heater,2.79,25.8,Fall,3
2023-04-08 12:47:00,125,Air Conditioning,4.85,34.9,Spring,1
2023-06-25 11:41:00,94,Washing Machine,0.22,32.8,Spring,3
2023-06-02 02:52:00,489,Computer,1.12,0.4,Spring,5
2023-01-29 11:50:00,253,Fridge,0.5,-1.8,Winter,1
2023-02-14 17:35:00,88,Dishwasher,1.78,13.7,Winter,5
2023-12-01 22:58:00,340,Air Conditioning,2.13,9.5,Fall,2
2023-07-06 09:48:00,259,Heater,2.0,-6.9,Summer,1
2023-03-12 23:06:00,425,Lights,0.3,6.9,Winter,4
2023-07-09 21:36:00,216,Lights,0.5,27.0,Summer,4
2023-01-17 17:01:00,419,Computer,1.38,-1.8,Winter,3
2023-04-25 19:02:00,64,Dishwasher,1.09,39.1,Spring,2
2023-03-10 03:58:00,49,TV,1.23,9.8,Winter,2
2023-06-22 10:48:00,322,Lights,1.01,14.8,Spring,2
2023-05-10 18:23:00,154,Fridge,0.38,12.6,Spring,5
2023-08-21 21:49:00,485,Computer,0.77,25.5,Summer,1
2023-12-24 00:45:00,404,Fridge,0.41,36.3,Fall,2
2023-12-10 18:33:00,227,Air Conditioning,2.21,-1.3,Fall,3
2023-08-24 23:42:00,406,Dishwasher,0.26,15.8,Summer,1
2023-05-26 00:32:00,385,Fridge,0.1,17.1,Spring,5
2023-04-22 15:25:00,288,Washing Machine,0.38,-7.9,Spring,2
2023-03-26 19:34:00,340,Air Conditioning,3.5,36.9,Winter,2
2023-03-19 12:38:00,285,Dishwasher,0.99,36.7,Winter,4
2023-09-22 03:54:00,80,Computer,1.7,26.1,Summer,4
2023-05-04 08:15:00,273,Heater,2.04,-5.1,Spring,2
2023-06-22 10:04:00,432,Computer,0.52,9.0,Spring,3
2023-06-30 17:52:00,252,Air Conditioning,3.24,5.0,Spring,2
2023-07-13 22:54:00,20,Dishwasher,1.45,14.6,Summer,1
2023-08-31 01:54:00,307,Washing Machine,0.64,4.8,Summer,1
2023-05-15 01:58:00,339,Air Conditioning,3.38,22.2,Spring,2
2023-08-03 16:32:00,270,Washing Machine,1.5,35.5,Summer,2
2023-06-15 01:11:00,256,Heater,2.85,5.1,Spring,3
2023-12-20 13:46:00,274,Fridge,0.5,-2.1,Fall,1
2023-02-06 17:50:00,125,Microwave,0.8,-7.4,Winter,5
2023-10-25 16:16:00,43,Computer,1.84,4.9,Fall,5
2023-06-27 01:45:00,246,Washing Machine,1.57,33.1,Spring,5
2023-11-15 17:48:00,180,Fridge,0.26,38.6,Fall,5
2023-02-13 19:48:00,489,Heater,2.89,36.9,Winter,4
2023-01-24 14:08:00,408,Microwave,0.39,13.0,Winter,5
2023-08-28 10:15:00,293,TV,0.43,24.7,Summer,1
2023-09-23 11:16:00,45,Washing Machine,0.68,2.3,Summer,1
2023-08-11 11:27:00,427,Air Conditioning,2.46,32.8,Summer,5
2023-12-30 08:53:00,108,Air Conditioning,2.52,40.0,Fall,2
2023-04-01 04:45:00,172,Air Conditioning,2.8,17.8,Spring,5
2023-03-28 13:18:00,312,Lights,1.06,8.5,Winter,3
2023-10-08 15:21:00,383,Heater,2.79,-6.5,Fall,5
2023-01-30 21:04:00,248,Oven,0.6,0.6,Winter,1
2023-01-27 23:27:00,71,Heater,2.44,-2.2,Winter,1
2023-01-23 15:39:00,137,Oven,1.15,-8.3,Winter,4
2023-11-09 00:38:00,91,Oven,0.81,1.6,Fall,2
2023-01-21 15:46:00,260,Dishwasher,1.49,39.8,Winter,3
2023-12-12 12:56:00,394,Heater,3.87,37.0,Fall,1
2023-08-19 10:58:00,288,Washing Machine,1.29,38.5,Summer,5
2023-02-09 12:00:00,346,Dishwasher,0.37,-8.8,Winter,1
2023-01-09 09:29:00,340,Dishwasher,0.88,20.7,Winter,3
2023-01-18 03:42:00,157,Heater,2.52,37.1,Winter,3
2023-12-28 09:31:00,245,Lights,1.73,-7.6,Fall,5
2023-07-07 09:48:00,109,Fridge,0.28,2.3,Summer,2
2023-11-13 04:30:00,81,Microwave,0.26,30.9,Fall,5
2023-05-26 21:39:00,476,Computer,1.9,7.0,Spring,1
2023-05-30 16:23:00,69,Lights,0.44,10.9,Spring,5
2023-04-01 06:11:00,53,TV,0.64,7.6,Spring,2
2023-07-04 22:28:00,416,Dishwasher,1.75,37.4,Summer,1
2023-11-08 08:47:00,68,Dishwasher,0.63,38.1,Fall,4
2023-11-12 14:35:00,45,Oven,1.6,8.4,Fall,3
2023-02-11 12:36:00,209,Lights,1.99,0.9,Winter,5
2023-08-27 12:01:00,151,Washing Machine,1.31,15.3,Summer,5
2023-03-25 10:49:00,304,Washing Machine,0.87,8.3,Winter,1
2023-09-03 02:14:00,329,Microwave,1.71,39.8,Summer,5
2023-06-01 11:19:00,432,Fridge,0.11,5.1,Spring,4
2023-07-24 02:30:00,153,Heater,4.83,-3.6,Summer,4
2023-06-06 03:11:00,232,Computer,0.37,36.4,Spring,3
2023-03-22 14:39:00,191,Air Conditioning,2.27,0.3,Winter,3
2023-04-21 15:15:00,320,Dishwasher,0.75,-3.9,Spring,4
2023-05-10 12:05:00,105,Washing Machine,0.85,26.2,Spring,4
2023-11-06 00:11:00,183,Washing Machine,1.07,-5.3,Fall,5
2023-11-03 15:57:00,374,Microwave,0.65,-3.4,Fall,5
2023-11-21 01:45:00,454,TV,0.26,38.6,Fall,3
2023-02-21 08:38:00,469,Dishwasher,0.43,13.4,Winter,3
2023-12-07 17:08:00,463,Heater,4.0,17.3,Fall,4
2023-02-11 02:18:00,197,Fridge,0.13,22.9,Winter,2
2023-02-27 02:13:00,70,Washing Machine,1.27,14.8,Winter,5
2023-11-10 02:49:00,241,Washing Machine,1.86,-4.0,Fall,4
2023-01-23 04:18:00,323,Washing Machine,1.7,-2.1,Winter,2
2023-05-01 06:36:00,117,Air Conditioning,3.65,19.4,Spring,4
2023-09-22 02:18:00,327,Air Conditioning,2.83,23.1,Summer,1
2023-02-13 03:29:00,271,Lights,1.13,-2.9,Winter,3
2023-01-06 03:56:00,52,Washing Machine,0.26,19.9,Winter,5
2023-04-30 07:14:00,366,Dishwasher,0.58,-6.5,Spring,1
2023-02-26 19:15:00,200,TV,1.23,39.2,Winter,4
2023-10-22 19:43:00,37,Dishwasher,1.37,1.7,Fall,4
2023-05-16 19:02:00,445,Microwave,0.64,-5.2,Spring,1
2023-09-23 04:25:00,34,Air Conditioning,3.58,28.1,Summer,3
2023-06-24 20:38:00,149,Computer,1.33,25.8,Spring,2
2023-11-15 22:16:00,468,Microwave,1.3,9.8,Fall,3
2023-08-17 12:06:00,98,Fridge,0.21,-8.6,Summer,5
2023-05-29 07:08:00,206,Dishwasher,0.91,4.0,Spring,3
2023-04-04 18:07:00,315,TV,1.22,4.6,Spring,3
2023-12-19 14:51:00,98,TV,0.5,8.5,Fall,4
2023-08-31 08:10:00,50,Air Conditioning,3.34,16.3,Summer,5
2023-09-21 13:59:00,108,Lights,1.92,20.3,Summer,5
2023-11-27 20:08:00,402,Lights,0.76,6.7,Fall,2
2023-09-16 09:20:00,220,Dishwasher,1.83,8.0,Summer,2
2023-02-20 23:49:00,118,Washing Machine,0.72,9.4,Winter,1
2023-05-27 21:01:00,274,Air Conditioning,4.63,20.7,Spring,1
2023-03-17 19:14:00,3,Heater,4.02,-6.9,Winter,4
2023-07-23 21:19:00,180,Microwave,1.62,10.0,Summer,1
2023-06-29 11:03:00,175,Microwave,1.87,35.7,Spring,5
2023-12-21 22:11:00,244,Washing Machine,0.29,6.6,Fall,5
2023-06-26 07:19:00,359,Air Conditioning,3.73,1.6,Spring,5
2023-11-17 22:01:00,165,Microwave,1.95,-2.4,Fall,4
2023-08-05 21:47:00,99,Heater,3.67,3.0,Summer,5
2023-11-30 06:56:00,70,Oven,0.42,13.6,Fall,1
2023-01-19 05:52:00,209,Oven,1.14,17.3,Winter,4
2023-08-18 06:27:00,409,Air Conditioning,2.85,22.9,Summer,1
2023-08-12 10:54:00,327,Oven,1.57,16.5,Summer,5
2023-09-27 03:17:00,425,Dishwasher,0.43,10.5,Summer,4
2023-12-15 20:45:00,418,Dishwasher,1.1,-1.0,Fall,1
2023-05-01 04:09:00,405,Lights,0.81,-2.1,Spring,1
2023-08-02 22:28:00,215,Lights,1.37,-1.2,Summer,2
2023-03-02 19:33:00,267,Computer,0.42,25.5,Winter,5
2023-01-09 10:18:00,100,Washing Machine,0.88,20.1,Winter,1
2023-03-16 14:12:00,129,TV,1.59,0.7,Winter,2
2023-12-21 21:43:00,455,Washing Machine,1.4,13.0,Fall,1
2023-08-23 04:49:00,309,Heater,3.28,30.6,Summer,4
2023-01-21 21:40:00,145,Oven,1.07,8.8,Winter,2
2023-04-28 14:15:00,10,Air Conditioning,4.58,7.6,Spring,1
2023-09-02 00:53:00,423,Microwave,1.03,12.9,Summer,3
2023-04-18 01:25:00,438,Lights,0.64,20.3,Spring,2
2023-06-06 21:10:00,440,Dishwasher,1.89,-0.3,Spring,2
2023-06-06 02:39:00,469,Computer,1.79,26.0,Spring,2
2023-07-29 10:42:00,124,Oven,1.74,39.9,Summer,4
2023-01-17 11:41:00,488,Air Conditioning,2.95,16.5,Winter,2
2023-05-17 20:01:00,304,Dishwasher,1.29,36.5,Spring,4
2023-06-27 12:57:00,182,Oven,0.34,26.6,Spring,3
2023-02-05 23:07:00,35,TV,1.74,-7.7,Winter,4
2023-11-23 08:32:00,47,Fridge,0.48,15.4,Fall,4
2023-10-08 03:27:00,343,Heater,4.48,5.1,Fall,2
2023-07-27 07:06:00,469,Air Conditioning,4.44,5.5,Summer,3
2023-11-18 17:02:00,67,Microwave,1.85,22.6,Fall,1
2023-06-12 05:19:00,60,Dishwasher,0.26,8.7,Spring,4
2023-07-18 13:18:00,2,Dishwasher,0.5,-3.9,Summer,1
2023-09-06 05:09:00,1,Washing Machine,1.65,30.7,Summer,4
2023-06-24 11:23:00,389,Fridge,0.31,34.7,Spring,4
2023-01-25 02:00:00,81,Heater,2.55,19.5,Winter,3
2023-05-03 11:54:00,490,Heater,4.35,23.8,Spring,2
2023-06-10 06:56:00,115,Dishwasher,1.96,14.9,Spring,3
2023-12-25 10:50:00,243,Oven,0.94,8.5,Fall,4
2023-10-11 13:23:00,332,Fridge,0.36,0.9,Fall,4
2023-01-30 18:12:00,353,Air Conditioning,2.01,10.3,Winter,4
2023-12-03 13:20:00,209,TV,1.37,28.1,Fall,3
2023-03-07 21:55:00,468,Oven,0.86,4.2,Winter,2
2023-04-05 15:32:00,488,Heater,2.45,22.7,Spring,4
2023-10-19 09:26:00,168,Oven,0.55,3.8,Fall,2
2023-08-05 00:20:00,460,Lights,0.39,24.4,Summer,4
2023-04-12 10:55:00,23,Oven,0.82,21.4,Spring,1
2023-05-26 16:27:00,353,Computer,0.62,30.5,Spring,2
2023-05-06 09:49:00,179,TV,0.99,21.8,Spring,4
2023-04-08 11:46:00,414,Air Conditioning,2.4,8.5,Spring,2
2023-08-18 05:21:00,451,TV,1.57,26.0,Summer,3
2023-03-13 07:07:00,482,Washing Machine,0.43,2.9,Winter,2
2023-04-22 12:19:00,281,Washing Machine,1.05,19.8,Spring,4
2023-06-25 08:03:00,15,Microwave,1.2,6.7,Spring,2
2023-01-07 09:51:00,133,Heater,3.5,2.5,Winter,4
2023-10-20 07:12:00,91,Washing Machine,1.01,25.9,Fall,2
2024-01-01 17:38:00,275,Fridge,0.19,-8.2,Winter,1
2023-04-20 23:53:00,386,Fridge,0.13,1.4,Spring,2
2023-05-22 23:48:00,39,TV,0.35,27.2,Spring,3
2023-03-30 19:53:00,471,Dishwasher,1.74,34.8,Winter,4
2023-11-20 02:19:00,224,TV,1.6,-5.0,Fall,4
2023-09-02 20:05:00,157,Washing Machine,1.02,7.9,Summer,1
2023-08-30 15:40:00,487,Dishwasher,1.65,7.2,Summer,1
2023-03-26 04:52:00,199,Air Conditioning,4.13,14.5,Winter,2
2023-01-29 21:58:00,487,Washing Machine,0.62,38.1,Winter,5
2023-04-06 21:52:00,78,Washing Machine,0.34,-0.1,Spring,5
2023-10-11 17:30:00,246,Washing Machine,1.35,28.3,Fall,4
2023-10-08 14:23:00,163,Fridge,0.28,23.0,Fall,3
2023-08-29 02:35:00,273,Dishwasher,1.21,2.8,Summer,5
2023-02-20 11:12:00,241,Heater,2.64,1.7,Winter,1
2023-07-01 07:04:00,144,TV,0.38,-0.1,Summer,3
2023-08-07 10:32:00,459,Oven,0.6,14.2,Summer,3
2023-06-20 17:02:00,146,Washing Machine,0.51,-3.0,Spring,1
2023-07-18 10:04:00,129,Air Conditioning,3.94,17.8,Summer,5
2023-08-09 16:58:00,335,Dishwasher,1.68,21.4,Summer,5
2023-11-03 14:44:00,180,Heater,3.33,21.1,Fall,1
2023-07-31 00:10:00,288,Oven,0.33,-6.8,Summer,4
2023-01-22 08:15:00,213,Fridge,0.32,34.3,Winter,5
2023-05-25 18:56:00,190,Microwave,0.36,10.4,Spring,3
2023-07-02 07:42:00,417,Dishwasher,1.47,21.6,Summer,5
2023-02-25 10:36:00,112,Microwave,1.57,-5.8,Winter,1
2023-12-20 08:22:00,76,Oven,0.54,5.5,Fall,3
2023-04-03 16:41:00,159,Microwave,1.32,29.9,Spring,3
2023-07-22 16:01:00,152,Heater,4.39,2.7,Summer,4
2023-12-21 14:51:00,248,Fridge,0.11,2.4,Fall,4
2023-02-23 22:27:00,381,Microwave,0.54,13.5,Winter,5
2023-12-02 00:22:00,410,Oven,1.61,7.6,Fall,4
2023-08-09 12:51:00,277,Washing Machine,0.71,-2.6,Summer,4
2023-03-22 07:03:00,257,Dishwasher,0.89,2.5,Winter,4
2023-08-23 06:44:00,295,Dishwasher,0.43,8.6,Summer,5
2023-03-16 09:31:00,113,Lights,1.51,37.4,Winter,5
2023-04-02 06:40:00,40,Computer,1.71,-9.2,Spring,2
2023-04-16 21:20:00,64,Lights,1.35,21.5,Spring,4
2023-06-28 08:18:00,424,Lights,1.28,9.8,Spring,4
2023-05-15 01:52:00,191,Dishwasher,0.86,24.2,Spring,1
2023-04-10 21:25:00,187,Air Conditioning,4.51,3.4,Spring,1
2023-01-20 20:29:00,60,Dishwasher,1.52,25.0,Winter,5
2023-07-05 10:54:00,340,Heater,3.17,19.1,Summer,1
2023-11-11 10:46:00,317,Microwave,1.63,12.2,Fall,3
2023-01-22 16:08:00,275,Heater,3.18,39.7,Winter,1
2023-09-04 09:43:00,304,Lights,1.64,38.8,Summer,3
2023-07-10 20:25:00,418,Oven,0.21,39.5,Summer,2
2023-03-02 11:34:00,477,Computer,1.53,2.3,Winter,3
2023-03-21 23:37:00,261,Washing Machine,1.38,-2.0,Winter,5
2023-11-06 18:49:00,156,Heater,3.51,10.0,Fall,1
2023-01-10 18:07:00,4,Microwave,1.73,3.1,Winter,3
2023-05-30 02:22:00,430,Computer,0.24,16.8,Spring,5
2023-11-21 01:52:00,311,Washing Machine,1.41,11.5,Fall,1
2023-10-09 22:04:00,496,Fridge,0.29,35.3,Fall,3
2023-02-10 17:43:00,15,Fridge,0.29,3.4,Winter,5
2023-10-25 15:12:00,288,Lights,0.74,22.1,Fall,5
2023-10-01 14:12:00,44,Oven,1.4,22.3,Fall,5
2023-01-18 15:55:00,211,Washing Machine,0.74,-2.6,Winter,2
2023-04-11 03:04:00,225,Dishwasher,0.71,-3.7,Spring,2
2023-11-08 04:47:00,347,Dishwasher,0.47,34.1,Fall,3
2023-07-10 12:23:00,337,TV,0.83,8.1,Summer,1
2023-10-27 11:13:00,111,Computer,0.39,2.5,Fall,2
2023-07-06 05:14:00,161,Washing Machine,1.21,-1.4,Summer,5
2023-12-11 16:06:00,237,Microwave,0.28,37.2,Fall,2
2023-09-11 13:01:00,73,Computer,0.31,8.5,Summer,5
2023-12-02 09:55:00,385,Washing Machine,1.26,18.3,Fall,2
2023-06-11 11:25:00,181,Heater,4.57,-0.3,Spring,5
2023-10-12 02:39:00,215,Oven,0.22,9.3,Fall,2
2023-12-14 22:54:00,99,Washing Machine,0.26,0.0,Fall,2
2023-11-23 06:02:00,292,Heater,3.33,-9.5,Fall,3
2023-05-08 21:02:00,296,Fridge,0.48,39.9,Spring,2
2023-09-14 03:52:00,472,Lights,1.03,-4.1,Summer,3
2023-04-23 13:07:00,102,Air Conditioning,3.54,7.6,Spring,1
2023-12-26 01:39:00,323,TV,1.07,33.6,Fall,3
2023-11-28 14:37:00,158,Microwave,1.04,-1.9,Fall,2
2023-03-11 09:35:00,406,Dishwasher,1.33,24.9,Winter,3
2023-02-24 09:45:00,283,Dishwasher,0.22,19.2,Winter,2
2023-05-31 05:11:00,108,Heater,2.91,25.8,Spring,5
2023-07-10 07:37:00,253,TV,1.49,-3.0,Summer,5
2023-09-22 15:49:00,428,Computer,1.98,25.1,Summer,1
2023-04-11 08:32:00,449,Air Conditioning,2.03,36.9,Spring,1
2023-04-09 23:16:00,235,Oven,0.76,37.9,Spring,2
2023-03-10 18:23:00,497,Washing Machine,1.17,16.2,Winter,2
2023-06-27 03:03:00,37,TV,0.81,0.8,Spring,3
2023-10-22 06:20:00,480,Air Conditioning,3.43,16.2,Fall,3
2023-10-27 06:37:00,217,Oven,1.47,11.4,Fall,4
2023-06-17 21:34:00,261,TV,1.66,9.8,Spring,5
2023-01-20 01:46:00,500,Lights,0.72,2.9,Winter,4
2023-06-12 12:13:00,10,Air Conditioning,4.48,23.5,Spring,4
2023-12-29 02:53:00,164,Oven,1.2,6.9,Fall,1
2023-06-26 23:29:00,88,Air Conditioning,2.41,18.2,Spring,2
2023-09-28 19:04:00,381,Microwave,1.52,0.6,Summer,1
2023-04-21 11:07:00,415,Air Conditioning,2.48,39.5,Spring,1
2023-04-18 09:57:00,128,Lights,1.09,20.2,Spring,1
2023-01-26 19:09:00,7,Microwave,1.69,-6.8,Winter,3
2023-06-01 04:08:00,291,Washing Machine,1.42,11.4,Spring,5
2023-03-30 17:29:00,286,Air Conditioning,4.25,18.5,Winter,2
2023-02-21 16:25:00,476,Computer,0.27,11.6,Winter,1
2023-11-09 17:45:00,121,Microwave,0.4,32.8,Fall,4
2023-05-27 17:48:00,7,Microwave,1.65,2.5,Spring,2
2023-03-31 19:21:00,256,Dishwasher,1.59,36.5,Winter,5
2023-04-14 11:24:00,81,Washing Machine,0.35,10.0,Spring,4
2023-07-09 15:59:00,307,Fridge,0.25,12.2,Summer,1
2023-08-05 02:50:00,107,Microwave,1.21,5.6,Summer,1
